      16850	matou
      16838	acontecer
      16825	quis
      16784	fale
      16711	direito
      16708	volte
      16651	outras
      16611	estas
      16597	rapazes
      16559	devemos
      16550	trás
      16510	chance
      16493	pena
      16478	palavra
      16369	lhes
      16346	luz
      16226	culpa
      16173	rei
      16165	existe
      16154	srta
      16129	ouviu
      16121	escute
      16120	vendo
      16105	dólares
      16091	falta
      16071	atenção
      16038	rapaz
      16018	entende
      15983	sentir
      15982	baixo
      15911	seis
      15880	acreditar
      15871	sente
      15832	diferente
      15795	perder
      15739	força
      15719	acordo
      15589	único
      15571	livro
      15487	trouxe
      15469	doutor
      15395	deste
      15389	jack
      15382	nesta
      15378	tchau
      15294	casamento
      15224	tua
      15203	ponto
      15198	umas
      15170	fazem
      15147	olhar
      15083	linda
      15027	ai
      15003	sabemos
      14998	bebê
      14905	final
      14887	procurando
      14874	nessa
      14842	jesus
      14738	pedir
      14723	estado
      14696	bonito
      14692	presidente
      14652	mudar
      14636	passado
      14614	provavelmente
      14568	certa
      14555	vim
      14548	acontece
      14544	nele
      14535	caras
      14507	médico
      14438	modo
      14436	armas
      14432	nesse
      14427	próxima
      14412	falou
      14386	rua
      14351	conseguiu
      14279	devem
      14266	jogar
      14209	desculpa
      14199	mostrar
      14196	continuar
      14187	sai
      14174	esteve
      14053	pequena
      14032	sala
      14007	chamar
      13999	casar
      13970	acabar
      13947	bonita
      13906	faria
      13900	resto
      13840	aqueles
      13794	ruim
      13775	esqueça
      13763	pé
      13730	pior
      13683	segurança
      13681	alto
      13670	chama
      13667	sob
      13653	especial
      13635	garotas
      13634	pelos
      13603	estiver
      13592	lembro
      13584	menina
      13578	comprar
      13553	tio
      13530	negócio
      13501	passa
      13500	iria
      13464	próximo
      13430	fico
      13408	semanas
      13370	si
      13349	estás
      13339	ama
      13300	cedo
      13292	anda
      13125	brincando
      13116	começou
      13086	queremos
      13052	dez
      13044	sol
      13026	achar
      12979	respeito
      12860	grandes
      12852	tome
      12823	conversar
      12807	partir
      12802	último
      12795	livre
      12778	palavras
      12776	plano
      12773	próprio
      12771	leve
      12762	estará
      12711	perguntar
      12630	daí
      12623	hospital
      12621	milhões
      12567	querer
      12563	andar
      12540	professor
      12505	visto
      12479	penso
      12477	menino
      12452	ganhar
      12408	ligar
      12408	i
      12383	ar
      12361	senhores
      12243	acredita
      12208	entendeu
      12198	lindo
      12192	depressa
      12148	saiu
      12144	the
      12108	pense
      12065	colocar
      12006	viagem
      11987	engraçado
      11971	ordem
      11960	vontade
      11948	fiquei
      11944	fato
      11912	mortos
      11897	presente
      11890	general
      11842	real
      11832	doente
      11820	seguro
      11795	voce
      11732	sozinha
      11729	conosco
      11723	exército
      11676	prisão
      11676	inferno
      11662	povo
      11652	passou
      11628	mente
      11627	manter
      11608	controle
      11521	estávamos
      11517	entender
      11512	campo
      11488	cabelo
      11482	escritório
      11481	própria
      11469	quente
      11441	natal
      11434	após
      11433	lamento
      11419	simples
      11407	pegou
      11407	olhando
      11406	estive
      11397	perfeito
      11392	falei
      11378	finalmente
      11376	abra
      11361	céu
      11355	linha
      11354	estivesse
      11352	fome
      11314	carta
      11241	las
      11240	sentido
      11239	irei
      11232	frank
      11226	tente
      11208	encontro
      11202	idade
      11201	precisar
      11176	grupo
      11157	pro
      11137	dor
      11136	beber
      11092	mesa
      11086	hotel
      11070	tire
      11068	farei
      11026	futuro
      11013	cuidar
      10958	incrível
      10944	sam
      10938	descobrir
      10871	sonho
      10836	situação
      10834	joe
      10833	conhecer
      10789	maldito
      10785	barco
      10782	chão
      10756	perdeu
      10754	equipe
      10740	padre
      10736	tom
      10735	boas
      10708	senhorita
      10706	continue
      10686	vale
      10667	frio
      10635	porquê
      10630	tenente
      10602	continua
      10601	disto
      10593	rosto
      10585	avião
      10580	amiga
      10540	voltou
      10536	creio
      10519	pobre
      10441	ficará
      10440	sinal
      10431	ouro
      10407	sexo
      10385	lei
      10362	emprego
      10350	david
      10330	voz
      10307	somente
      10245	disseram
      10241	george
      10236	mau
      10232	olho
      10224	trabalhando
      10192	velha
      10186	cavalo
      10152	estarei
      10124	fizeram
      10120	questão
      10111	mar
      10109	trazer
      10108	chamado
      10103	buscar
      10093	companhia
      10077	contigo
      10011	roupa
      10010	melhores
      10005	simplesmente
      10003	coronel
       9991	quantos
       9956	odeio
       9916	serviço
       9901	trem
       9861	pelas
       9859	encontrei
       9749	consegui
       9705	banco
       9703	estaria
       9678	esquerda
       9673	fará
       9663	soube
       9656	governo
       9651	tocar
       9647	mês
       9641	uh
       9638	certamente
       9628	charlie
       9623	pediu
       9622	assunto
       9610	sistema
       9603	alma
       9588	mestre
       9551	ler
       9524	tiver
       9487	estrada
       9485	escolha
       9464	lutar
       9453	preso
       9450	direita
       9423	sete
       9413	resposta
       9409	hey
       9392	completamente
       9383	ti
       9382	leva
       9367	abrir
       9367	sargento
       9362	hein
       9334	acidente
       9325	foto
       9318	negócios
       9316	bela
       9310	maravilhoso
       9309	fundo
       9305	normal
       9293	ajude
       9284	haver
       9275	bons
       9260	juro
       9258	ataque
       9257	vista
       9226	surpresa
       9223	aniversário
       9218	pudesse
       9195	michael
       9180	peguei
       9179	assassino
       9158	pés
       9140	imediatamente
       9139	rio
       9129	policial
       9114	local
       9112	tens
       9107	morta
       9096	escrever
       9066	perguntas
       9045	tv
       9041	levou
       9033	metade
       9022	notícias
       8998	através
       8986	trabalha
       8968	luta
       8944	cair
       8940	ouvindo
       8929	terminar
       8908	procurar
       8906	ficando
       8901	papel
       8899	graças
       8888	entendi
       8883	impossível
       8881	duro
       8874	ordens
       8859	explicar
       8854	viva
       8851	terrível
       8850	verdadeiro
       8841	olhada
       8819	loja
       8813	fomos
       8809	salvar
       8785	seguir
       8774	cachorro
       8765	segunda
       8764	dei
       8763	triste
       8752	caixa
       8746	perdi
       8740	adoro
       8739	totalmente
       8730	precisam
       8723	teremos
       8721	show
       8716	cheio
       8716	horrível
       8714	venham
       8714	encontrou
       8695	igreja
       8694	advogado
       8672	peça
       8670	ideia
       8643	chave
       8640	roupas
       8633	basta
       8633	dançar
       8620	contou
       8610	serão
       8593	chame
       8577	carne
       8514	mensagem
       8492	bebida
       8490	parecia
       8486	diria
       8447	branco
       8446	monte
       8444	interessante
       8444	tinham
       8418	desejo
       8410	oficial
       8401	guarda
       8387	agente
       8386	norte
       8384	paul
       8381	lembrar
       8378	jamais
       8369	espaço
       8350	costas
       8347	bola
       8341	banheiro
       8322	feira
       8308	sul
       8307	falo
       8277	acabei
       8263	fotos
       8251	prometo
       8251	socorro
       8225	volto
       8221	aposto
       8217	toque
       8214	esquecer
       8208	conversa
       8205	poderá
       8197	erro
       8184	junto
       8182	l
       8176	parabéns
       8165	missão
       8162	paris
       8161	destino
       8133	saúde
       8115	achou
       8112	honra
       8107	senhoras
       8104	fizemos
       8100	embaixo
       8095	começa
       8095	silêncio
       8065	naquela
       8063	crime
       8054	dando
       8044	beleza
       8042	breve
       8026	segredo
       8011	posição
       8004	capaz
       8000	garotos
       7980	belo
       7967	és
       7966	conheci
       7959	vidas
       7951	louca
       7940	chá
       7939	harry
       7937	fazia
       7936	fazemos
       7935	oito
       7914	tivemos
